# Saved on 2025-07-25T14:11:40.940683
# Name: Shreenidhi
# Sample_ID: GWC331_WGFMU_noise
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# wgfmu_readout:
#   num_read: 10
#   v_rd: 0.1
#   read_waveform: ReRAM_RTN_Evan
Time (s),Noise Readout 1uA,Noise Readout 10uA,Noise Readout 100uA,Noise Readout 1mA
1.4400000000e-04,1.4626038137e-05,1.1209579498e-05,1.3394731468e-05,7.1551799010e-06
1.0144000000e-02,1.3754930478e-05,3.3535237890e-05,5.3936028053e-06,8.3135000750e-06
2.0144000000e-02,1.6070596757e-05,2.2194817575e-05,3.9317088522e-05,1.5953175534e-05
3.0144000000e-02,3.1848179788e-05,1.2362605958e-05,1.2609982150e-05,-6.3436993969e-07
4.0144000000e-02,-1.0510734683e-05,1.2433642951e-05,2.4391669285e-05,3.6754885514e-05
5.0144000000e-02,1.4481318431e-05,1.1588721463e-05,1.3779724213e-05,7.3382043411e-06
6.0144000000e-02,1.4316261513e-05,3.3179916500e-05,5.0781150094e-06,8.0526133388e-06
7.0144000000e-02,1.3403506273e-05,2.2321011784e-05,3.9918813854e-05,1.5201577298e-05
8.0144000000e-02,3.1748870242e-05,1.2470833099e-05,1.3078129086e-05,-9.8718680874e-07
9.0144000000e-02,-1.0315174222e-05,1.2324441741e-05,2.3407597837e-05,3.7084162614e-05
1.0014400000e-01,1.2643828995e-05,1.2527105355e-05,1.2877415429e-05,7.0422174758e-06
1.1014400000e-01,1.4825081053e-05,3.3494983654e-05,4.4008961595e-06,8.0826994235e-06
1.2014400000e-01,1.4686350369e-05,2.1751880922e-05,3.8710906665e-05,1.5595065634e-05
1.3014400000e-01,3.2778207242e-05,1.3317147932e-05,1.2875186258e-05,4.2570395209e-08
1.4014400000e-01,-1.0096491678e-05,1.3241375200e-05,2.2904629077e-05,3.6061370338e-05
1.5014400000e-01,1.4204134459e-05,1.1717980669e-05,1.3095262148e-05,7.7748727563e-06
1.6014400000e-01,1.5602587155e-05,3.2841166103e-05,4.8856190915e-06,7.0579567364e-06
1.7014400000e-01,1.3616338947e-05,2.1600195396e-05,4.0540875489e-05,1.5650643036e-05
1.8014400000e-01,3.2816511521e-05,1.3264218069e-05,1.3558255887e-05,-2.9580860428e-08
1.9014400000e-01,-1.0100113286e-05,1.3628178749e-05,2.2431468096e-05,3.6709614506e-05
2.0014400000e-01,1.3615503121e-05,1.2589785001e-05,1.3875414879e-05,8.0953750512e-06
2.1014400000e-01,1.6084384697e-05,3.3305830584e-05,4.5796027734e-06,7.1404156188e-06
2.2014400000e-01,1.3657429008e-05,2.2029063985e-05,3.9874383219e-05,1.5369976609e-05
2.3014400000e-01,3.3208190871e-05,1.3262268112e-05,1.4000635019e-05,2.6167063538e-07
2.4014400000e-01,-9.9914686871e-06,1.3868449969e-05,2.2106647521e-05,3.7254791096e-05
2.5014400000e-01,1.3037179087e-05,1.3046650565e-05,1.2564434655e-05,8.9340292106e-06
2.6014400000e-01,1.6566043996e-05,3.1762796425e-05,4.3582740545e-06,7.3464225352e-06
2.7014400000e-01,1.4278932213e-05,2.1810799808e-05,3.9597198338e-05,1.5565257854e-05
2.8014400000e-01,3.3333828469e-05,1.4096464838e-05,1.3131755622e-05,1.0395948493e-06
2.9014400000e-01,-1.0564360309e-05,1.3893243704e-05,2.1467314582e-05,3.6353874748e-05
3.0014400000e-01,1.3167552424e-05,1.3246250091e-05,1.3521344044e-05,8.9120212579e-06
3.1014400000e-01,1.5963343685e-05,3.1533807487e-05,3.8026537368e-06,6.7494333962e-06
3.2014400000e-01,1.3583884538e-05,2.2166401322e-05,4.0007958887e-05,1.5066746528e-05
3.3014400000e-01,3.2616353565e-05,1.3468554243e-05,1.2662771951e-05,2.2855272164e-06
3.4014400000e-01,-9.2620166470e-06,1.3609792404e-05,2.0698305889e-05,3.6499292037e-05
3.5014400000e-01,1.4434099285e-05,1.3622746337e-05,1.3884468899e-05,1.0125639164e-05
3.6014400000e-01,1.6477735699e-05,3.0517005143e-05,2.9163632007e-06,7.2432098932e-06
3.7014400000e-01,1.4700557585e-05,2.0858904463e-05,3.9672413550e-05,1.5419980627e-05
3.8014400000e-01,3.3934022213e-05,1.2871008039e-05,1.4394959180e-05,2.8021470371e-06
3.9014400000e-01,-9.4213619377e-06,1.3981134543e-05,1.9654340576e-05,3.6685101804e-05
4.0014400000e-01,1.4280464711e-05,1.3449889593e-05,1.2709294424e-05,1.1489270037e-05
4.1014400000e-01,1.7047006622e-05,3.1369447242e-05,2.2933274977e-06,7.8732100519e-06
4.2014400000e-01,1.4916871805e-05,2.0355377274e-05,4.1323397454e-05,1.5164108845e-05
4.3014400000e-01,3.4003107430e-05,1.3239842701e-05,1.5353540221e-05,3.0732016967e-06
4.4014400000e-01,-9.0436124083e-06,1.5008384253e-05,1.8740052838e-05,3.6020141124e-05
4.5014400000e-01,1.5283618268e-05,1.3792398931e-05,1.3501008652e-05,1.2195739146e-05
4.6014400000e-01,1.7900702005e-05,3.1484083593e-05,1.4545342992e-06,8.1648795458e-06
4.7014400000e-01,1.4348019249e-05,1.9632472686e-05,4.0602721128e-05,1.4341333554e-05
4.8014400000e-01,3.3939730201e-05,1.2679208339e-05,1.5329722373e-05,3.5719924654e-06
4.9014400000e-01,-8.9401219157e-06,1.4384512724e-05,1.8325252313e-05,3.5900910007e-05
5.0014400000e-01,1.5811519916e-05,1.3296672478e-05,1.3494182895e-05,1.2251593944e-05
5.1014400000e-01,1.7451915483e-05,3.0320050428e-05,1.2072978279e-06,7.9807405200e-06
5.2014400000e-01,1.4038381778e-05,1.7995418602e-05,3.9213737182e-05,1.5242528207e-05
5.3014400000e-01,3.4256056097e-05,1.1962849385e-05,1.5419562260e-05,4.3276309043e-06
5.4014400000e-01,-9.6549483715e-06,1.4630217265e-05,1.8482091036e-05,3.5827502870e-05
5.5014400000e-01,1.6241501726e-05,1.4127108443e-05,1.3696847418e-05,1.4708914932e-05
5.6014400000e-01,1.7607779228e-05,2.8636613933e-05,4.0666958512e-07,7.9985693446e-06
5.7014400000e-01,1.4218481738e-05,1.7621430743e-05,4.0284168790e-05,1.4177669982e-05
5.8014400000e-01,3.3569922380e-05,1.1653768524e-05,1.6945465177e-05,5.6106136981e-06
5.9014400000e-01,-8.4205767052e-06,1.4501933038e-05,1.7342017600e-05,3.6410147004e-05
6.0014400000e-01,1.4442317479e-05,1.3865525034e-05,1.3931826288e-05,1.4988466319e-05
6.1014400000e-01,1.9083398001e-05,2.9538226954e-05,-9.1782135314e-07,8.7671614892e-06
6.2014400000e-01,1.4201488739e-05,1.6691263227e-05,4.0330691263e-05,1.4244946215e-05
6.3014400000e-01,3.4402448364e-05,1.2019679161e-05,1.5946212443e-05,6.8725644269e-06
6.4014400000e-01,-9.3751186796e-06,1.4293557797e-05,1.7265967472e-05,3.5935452615e-05
6.5014400000e-01,1.6042598872e-05,1.4210681002e-05,1.4132540855e-05,1.6707002942e-05
6.6014400000e-01,1.8503958927e-05,2.8228640076e-05,-1.3550468339e-06,9.2445015980e-06
6.7014400000e-01,1.3922076505e-05,1.4996962818e-05,4.1136470827e-05,1.4705432477e-05
6.8014400000e-01,3.4120526834e-05,1.0829739949e-05,1.5774050553e-05,6.2452104430e-06
6.9014400000e-01,-9.7530073617e-06,1.4860042938e-05,1.6486232198e-05,3.5515637137e-05
7.0014400000e-01,1.6577883798e-05,1.3718715309e-05,1.3023528481e-05,1.7510696125e-05
7.1014400000e-01,1.8383057977e-05,2.8398013455e-05,-2.6683946999e-06,9.3910330179e-06
7.2014400000e-01,1.4079750144e-05,1.4995709535e-05,3.9314862079e-05,1.4929964891e-05
