# Saved on 2025-07-25T14:10:05.901060
# Name: Shreenidhi
# Sample_ID: GWC331_WGFMU_noise
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# wgfmu_readout:
#   num_read: 10
#   v_rd: 0.1
#   read_waveform: ReRAM_RTN_Evan
Time (s),Noise Readout 1uA,Noise Readout 10uA,Noise Readout 100uA,Noise Readout 1mA
1.4400000000e-04,1.6562004021e-05,3.4864606278e-05,1.5443381926e-05,-4.8909242878e-07
1.1440000000e-03,-4.5804031288e-06,1.9717437681e-05,-1.9686110591e-06,-1.0460451449e-05
2.1440000000e-03,-2.9199972573e-07,1.1510998775e-05,-3.8735156522e-06,1.5256317056e-05
3.1440000000e-03,-1.1723795069e-05,1.8894941604e-05,-9.0925032055e-06,1.7182394004e-05
4.1440000000e-03,1.7079877580e-05,1.5091957721e-05,8.1235111793e-06,1.7905857021e-05
5.1440000000e-03,1.5848152543e-05,1.6646970835e-05,1.9779421564e-05,1.4732176169e-05
6.1440000000e-03,1.8768467271e-05,-2.8696661047e-06,1.3181898794e-05,1.4419474610e-05
7.1440000000e-03,1.4798616576e-05,9.5462917216e-07,1.2679765860e-05,2.4410055630e-05
8.1440000000e-03,1.3150837731e-05,-1.1797060324e-05,1.3320212020e-05,2.9416767575e-05
9.1440000000e-03,2.3675311240e-05,1.9616732970e-05,2.9986735171e-05,3.8658676203e-05
1.0144000000e-02,2.8230449971e-05,1.7197296984e-05,2.8922015190e-05,1.0990617739e-05
1.1144000000e-02,3.7821413571e-05,1.9467415768e-05,4.0531125705e-05,1.4620188267e-05
1.2144000000e-02,1.3582770407e-05,1.4809620552e-05,6.2631788751e-06,9.0669100246e-06
1.3144000000e-02,1.3986148588e-05,1.2862233234e-05,1.6162386601e-05,1.9482598873e-05
1.4144000000e-02,7.9324081526e-06,2.1804809876e-05,9.6131980172e-06,1.4205527805e-05
1.5144000000e-02,2.0735216822e-05,2.6333205824e-05,1.4464185369e-05,1.4646792806e-05
1.6144000000e-02,1.4059553905e-05,3.8199719711e-05,1.3971663066e-05,4.1962821342e-06
1.7144000000e-02,1.5215645362e-05,1.6025884179e-05,1.1550974705e-05,-6.1331870711e-06
1.8144000000e-02,2.6454479212e-06,1.3350855625e-05,4.1110374696e-06,-3.2841874145e-06
1.9144000000e-02,-6.3379407038e-06,8.6657601059e-06,-8.0648351286e-06,1.3355034753e-05
2.0144000000e-02,-4.8453289310e-06,2.2123222152e-05,7.1618655966e-06,1.9416853320e-05
2.1144000000e-02,1.1319338228e-05,1.3840593056e-05,1.5466503100e-05,8.6738382379e-06
2.2144000000e-02,1.9795857952e-05,1.4492739865e-05,1.9687629901e-05,1.5048081877e-05
2.3144000000e-02,8.1047073763e-06,1.1801366782e-06,5.8492141761e-06,1.4903082956e-05
2.4144000000e-02,1.4279211427e-05,-5.6019421208e-06,1.5482521121e-05,3.3208747482e-05
2.5144000000e-02,1.2347423763e-05,-5.8846972024e-06,1.3917758224e-05,3.0207645977e-05
2.6144000000e-02,3.2983378333e-05,9.7119527709e-06,3.0759503716e-05,4.0068967792e-05
2.7144000000e-02,2.9051692763e-05,2.0761541236e-05,3.4368877095e-05,1.3759109606e-05
2.8144000000e-02,4.0831429942e-05,1.0763160390e-05,3.9546495827e-05,1.4065542928e-05
2.9144000000e-02,1.1945159713e-05,1.4564473531e-05,2.2630649255e-05,1.2390046322e-05
3.0144000000e-02,1.4472125258e-05,1.2486711967e-05,9.2389309430e-06,1.5344347048e-05
3.1144000000e-02,9.8731097751e-06,3.1614039472e-05,1.6796566342e-05,1.6766340195e-05
3.2144000000e-02,1.4532436580e-05,2.8225156711e-05,1.6892534404e-05,5.7037973420e-06
3.3144000000e-02,1.3215885701e-05,4.0898150473e-05,1.6445977963e-05,6.9026026495e-07
3.4144000000e-02,5.9932381191e-06,9.0774956334e-06,-6.2977346715e-07,-9.4306942628e-06
3.5144000000e-02,8.9863527819e-07,1.3970269720e-05,8.1153210374e-08,1.7442027456e-05
3.6144000000e-02,-8.9912400654e-06,1.0526928236e-05,-1.0684008885e-05,1.3899790247e-05
3.7144000000e-02,1.5717499991e-05,1.4204413674e-05,2.2577441996e-05,2.0082094125e-05
3.8144000000e-02,1.4187698980e-05,1.6809659428e-05,1.3895890334e-05,1.0315906366e-05
3.9144000000e-02,2.0035849957e-05,8.0730887930e-06,2.0423767637e-05,1.5478064597e-05
4.0144000000e-02,1.0477759133e-05,2.6926666123e-06,1.4247453691e-05,1.5671535948e-05
4.1144000000e-02,1.6426754883e-05,-8.7020780484e-06,1.4684400412e-05,2.6750652978e-05
4.2144000000e-02,1.3653946553e-05,1.3675954506e-05,1.9013197743e-05,3.7165922549e-05
4.3144000000e-02,2.6716388675e-05,1.5758450900e-05,2.5622141038e-05,3.4889817471e-05
4.4144000000e-02,3.5421617213e-05,2.0173745725e-05,3.7043071643e-05,1.7619897335e-05
4.5144000000e-02,3.4524324292e-05,8.1189145931e-06,2.3539087124e-05,1.2542566765e-05
4.6144000000e-02,1.7880367523e-05,1.5800098481e-05,1.3144848708e-05,2.1173416826e-05
4.7144000000e-02,1.1829968571e-05,1.4898625523e-05,1.0184278835e-05,1.5257013729e-05
4.8144000000e-02,2.0446332201e-05,2.7998814403e-05,2.4560347811e-05,1.5923367755e-05
4.9144000000e-02,1.4945426301e-05,3.5042477975e-05,1.4026821191e-05,-4.8011747822e-06
5.0144000000e-02,1.6493057046e-05,3.5793935240e-05,1.5585872461e-05,-1.4685666656e-06
5.1144000000e-02,-5.0396361075e-06,1.9014451027e-05,-1.7383677005e-06,-1.1488677046e-05
5.2144000000e-02,3.0735714063e-07,1.1586771507e-05,-4.6572899919e-06,1.4844720681e-05
5.3144000000e-02,-1.1808900126e-05,1.8249758796e-05,-9.9338030850e-06,1.6578718714e-05
5.4144000000e-02,1.7638145437e-05,1.5666520994e-05,8.7356820586e-06,1.8692417143e-05
5.5144000000e-02,1.5160348084e-05,1.6899917682e-05,1.9450701075e-05,1.4068328710e-05
5.6144000000e-02,1.8783093765e-05,-2.9288635233e-06,1.3272297110e-05,1.3534297977e-05
5.7144000000e-02,1.4496918084e-05,6.5794540660e-07,1.2916137166e-05,2.3821145078e-05
5.8144000000e-02,1.3764123651e-05,-1.1535198610e-05,1.3324669453e-05,2.9099468520e-05
5.9144000000e-02,2.4134264095e-05,1.9763681848e-05,2.9895500120e-05,3.8990459871e-05
6.0144000000e-02,2.8242429835e-05,1.5699393771e-05,2.8210532037e-05,1.3101251170e-05
6.1144000000e-02,3.8022266381e-05,1.9580516891e-05,4.0452705434e-05,1.4308322534e-05
6.2144000000e-02,1.3087043953e-05,1.5385438019e-05,6.0149673118e-06,8.5729934654e-06
6.3144000000e-02,1.5097529285e-05,1.3659518117e-05,1.5522775357e-05,2.0270133973e-05
6.4144000000e-02,7.7642871474e-06,2.1917354388e-05,9.0249841378e-06,1.4847228158e-05
6.5144000000e-02,2.0290608518e-05,2.6839936254e-05,1.4695125174e-05,1.5381676349e-05
6.6144000000e-02,1.3412838598e-05,3.7659840018e-05,1.5373179849e-05,2.3654786219e-06
6.7144000000e-02,1.4809202185e-05,1.5990504835e-05,1.2185431842e-05,-7.1813301474e-06
6.8144000000e-02,2.3448640150e-06,1.2946084098e-05,3.8828839024e-06,-3.9428809941e-06
6.9144000000e-02,-5.8530786191e-06,8.5590654635e-06,-8.9497325462e-06,1.1384942809e-05
7.0144000000e-02,-4.2681190280e-06,2.1554509658e-05,6.5648769123e-06,2.0109673642e-05
7.1144000000e-02,1.2058958418e-05,1.3918733202e-05,1.6051373677e-05,8.0776853792e-06
7.2144000000e-02,1.9331469957e-05,1.5276234990e-05,1.8638094843e-05,1.3886000488e-05
7.3144000000e-02,7.9815763456e-06,1.4216623185e-06,5.5320551837e-06,1.4201767044e-05
7.4144000000e-02,1.4475467651e-05,-5.5356408666e-06,1.5319832528e-05,3.3313353924e-05
7.5144000000e-02,1.2280705050e-05,-4.6515792747e-06,1.4240210476e-05,2.9758719393e-05
7.6144000000e-02,3.3375614294e-05,1.0532499800e-05,3.1793024391e-05,3.9745122194e-05
7.7144000000e-02,2.8825488698e-05,2.0235171178e-05,3.4510394471e-05,1.3047625544e-05
7.8144000000e-02,4.1078947106e-05,1.0791575733e-05,3.9250928239e-05,1.3369798580e-05
7.9144000000e-02,1.2192535905e-05,1.4700975953e-05,2.1370091417e-05,1.0948552699e-05
8.0144000000e-02,1.5219266970e-05,1.3046789718e-05,1.0747839042e-05,1.5255202925e-05
8.1144000000e-02,1.0625126379e-05,3.2358395401e-05,1.5615958546e-05,1.6452524505e-05
8.2144000000e-02,1.4772291252e-05,2.8437571018e-05,1.7224876501e-05,6.8727035796e-06
8.3144000000e-02,1.4020831259e-05,4.0721253754e-05,1.6553785827e-05,6.1852682620e-07
8.4144000000e-02,6.1495197770e-06,9.4864453786e-06,-1.2587707765e-08,-9.2433519967e-06
8.5144000000e-02,4.8091015969e-07,1.4154966266e-05,7.2215721048e-07,1.7063859559e-05
8.6144000000e-02,-8.8721490101e-06,1.1254986930e-05,-1.1264144632e-05,1.4043535884e-05
8.7144000000e-02,1.5958887161e-05,1.4422817003e-05,2.2487740353e-05,1.9289544070e-05
8.8144000000e-02,1.4738026039e-05,1.4792627553e-05,1.3172427316e-05,9.9274320746e-06
8.9144000000e-02,2.0068444428e-05,8.6833097157e-06,2.0167060939e-05,1.5728086510e-05
