# Saved on 2025-07-25T14:12:48.148458
# Name: Shreenidhi
# Sample_ID: GWC331_WGFMU_noise
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 2
# VSS WGFMU: 1
# trd: 0.0001
# pts_per_meas: 1
# wgfmu_readout:
#   num_read: 10
#   v_rd: 0.1
#   read_waveform: ReRAM_RTN_Evan
Time (s),Noise Readout 1uA,Noise Readout 10uA,Noise Readout 100uA,Noise Readout 1mA
1.4400000000e-04,1.4642196220e-05,3.1052706618e-05,8.3706993337e-07,1.1682740478e-05
3.0014400000e-01,1.3758969544e-05,3.3131302189e-05,5.6615448329e-07,7.0852574936e-06
6.0014400000e-01,1.4339105292e-05,3.2459098293e-05,3.8527973629e-06,5.0878652473e-06
9.0014400000e-01,1.5954290575e-05,2.9104761779e-05,5.8737291511e-06,9.5328286989e-06
1.2001440000e+00,1.5971561879e-05,2.4592522095e-05,9.8694397366e-07,1.5671952497e-05
1.5001440000e+00,1.6122829038e-05,1.9388578949e-05,-3.6829694636e-06,1.8886445105e-05
1.8001440000e+00,1.5121625438e-05,1.5349502064e-05,-3.7900820189e-06,2.0777839381e-05
2.1001440000e+00,1.3831399883e-05,1.4619352442e-05,4.3578080522e-07,2.1690453650e-05
2.4001440000e+00,1.3718019545e-05,1.3704508092e-05,5.0850794651e-06,2.0579909688e-05
2.7001440000e+00,1.3116294213e-05,1.2467211491e-05,1.1747230928e-05,1.8723338144e-05
