# Saved on 2025-06-27T16:51:23.680136
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 1
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.5
#   Neg_Voltage: -1
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A)
0.0000000000e+00,6.7704000000e-07
-1.0000000000e-02,2.7508000000e-05
-2.0000000000e-02,5.6276000000e-05
-3.0000000000e-02,8.4668000000e-05
-4.0000000000e-02,1.0988000000e-04
-5.0000000000e-02,1.4022000000e-04
-6.0000000000e-02,1.6904000000e-04
-7.0000000000e-02,1.9904000000e-04
-8.0000000000e-02,2.2658000000e-04
-9.0000000000e-02,2.5414000000e-04
-1.0000000000e-01,2.8386000000e-04
-1.1000000000e-01,3.1102000000e-04
-1.2000000000e-01,3.3972000000e-04
-1.3000000000e-01,3.7200000000e-04
-1.4000000000e-01,3.9892000000e-04
-1.5000000000e-01,4.2662000000e-04
-1.6000000000e-01,4.5592000000e-04
-1.7000000000e-01,4.8386000000e-04
-1.8000000000e-01,5.1548000000e-04
-1.9000000000e-01,5.4454000000e-04
-2.0000000000e-01,5.7398000000e-04
-2.1000000000e-01,6.0196000000e-04
-2.2000000000e-01,6.3106000000e-04
-2.3000000000e-01,6.6126000000e-04
-2.4000000000e-01,6.9306000000e-04
-2.5000000000e-01,7.2240000000e-04
-2.6000000000e-01,7.5250000000e-04
-2.7000000000e-01,7.8334000000e-04
-2.8000000000e-01,8.1364000000e-04
-2.9000000000e-01,8.4146000000e-04
-3.0000000000e-01,8.7452000000e-04
-3.1000000000e-01,9.0684000000e-04
-3.2000000000e-01,9.3554000000e-04
-3.3000000000e-01,9.6582000000e-04
-3.4000000000e-01,9.9594000000e-04
-3.5000000000e-01,1.0294000000e-03
-3.6000000000e-01,1.0588000000e-03
-3.7000000000e-01,1.0870000000e-03
-3.8000000000e-01,1.1208000000e-03
-3.9000000000e-01,1.1540000000e-03
-4.0000000000e-01,1.1868000000e-03
-4.1000000000e-01,1.2172000000e-03
-4.2000000000e-01,1.2484000000e-03
-4.3000000000e-01,1.2806000000e-03
-4.4000000000e-01,1.3094000000e-03
-4.5000000000e-01,1.3422000000e-03
-4.6000000000e-01,1.3772000000e-03
-4.7000000000e-01,1.4064000000e-03
-4.8000000000e-01,1.4384000000e-03
-4.9000000000e-01,1.4706000000e-03
-5.0000000000e-01,1.5002000000e-03
-5.1000000000e-01,1.5348000000e-03
-5.2000000000e-01,1.5660000000e-03
-5.3000000000e-01,1.5992000000e-03
-5.4000000000e-01,1.6274000000e-03
-5.5000000000e-01,1.6626000000e-03
-5.6000000000e-01,1.6952000000e-03
-5.7000000000e-01,1.7306000000e-03
-5.8000000000e-01,1.7620000000e-03
-5.9000000000e-01,1.7934000000e-03
-6.0000000000e-01,1.8260000000e-03
-6.1000000000e-01,1.8576000000e-03
-6.2000000000e-01,1.8922000000e-03
