Time (s),Voltage (V),Current (A)
0.06133,0.0,1.1078e-07
0.1086,-0.05,-0.00019624
0.1146,-0.1,-0.00039508
0.12058,-0.15,-0.00059164
0.12657,-0.2,-0.00078736
0.13255,-0.25,-0.00098872
0.1657,-0.3,-0.0011842
0.1717,-0.35,-0.0013816
0.17769,-0.4,-0.0015742
0.18368,-0.45,-0.001774
0.18964,-0.5,-0.0019688
0.19563,-0.55,-0.002165
0.20163,-0.6,-0.002363
0.20762,-0.65,-0.0025544
0.2136,-0.7,-0.0027548
0.21957,-0.75,-0.0029504
0.22556,-0.8,-0.0031436
0.23157,-0.85,-0.0033396
0.23755,-0.9,-0.0035346
0.24353,-0.95,-0.0037304
0.24952,-1.0,-0.0039274
0.25551,-1.05,-0.0041162
0.2615,-1.1,-0.0043126
0.2675,-1.15,-0.0045066
0.27347,-1.2,-0.0046984
0.27945,-1.25,-0.0048924
0.28544,-1.3,-0.0050796
0.29143,-1.35,-0.0052754
0.29741,-1.4,-0.0054686
0.30339,-1.45,-0.0056592
0.30937,-1.5,-0.0058486
0.31539,-1.55,-0.006041
0.32137,-1.6,-0.0062324
0.32734,-1.65,-0.0064254
0.33339,-1.7,-0.0066096
0.33936,-1.75,-0.0067976
0.34535,-1.8,-0.0069872
0.35132,-1.85,-0.007177
0.3573,-1.9,-0.007362
0.36329,-1.95,-0.0075476
0.36926,-2.0,-0.0077378
0.37525,-2.05,-0.0079228
0.38122,-2.1,-0.0081104
0.38719,-2.15,-0.008295
0.39317,-2.2,-0.00848
0.39914,-2.25,-0.008669
0.40511,-2.3,-0.0088534
0.41109,-2.35,-0.0090352
0.41708,-2.4,-0.0092228
0.42306,-2.45,-0.0094058
0.42905,-2.5,-0.0095902
0.43504,-2.55,-0.009775
0.441,-2.6,-0.0099548
0.44696,-2.65,-0.0101418
0.45292,-2.7,-0.010325
0.4589,-2.75,-0.0105062
0.46487,-2.8,-0.0106902
0.47085,-2.85,-0.0108732
0.47682,-2.9,-0.0110558
0.4828,-2.95,-0.011241
0.48877,-3.0,-0.01142
0.51021,-3.05,-0.011624
0.51616,-3.1,-0.01181
0.52209,-3.15,-0.011988
0.52801,-3.2,-0.012172
0.53393,-3.25,-0.012354
0.53986,-3.3,-0.012534
0.5458,-3.35,-0.012716
0.55173,-3.4,-0.012902
0.55765,-3.45,-0.013078
0.56363,-3.5,-0.013262
0.56956,-3.55,-0.013444
0.57549,-3.6,-0.013622
0.58143,-3.65,-0.013804
0.58735,-3.7,-0.013988
0.59327,-3.75,-0.01417
0.59919,-3.8,-0.014354
0.60512,-3.85,-0.014534
0.61104,-3.9,-0.014714
0.61696,-3.95,-0.014896
0.62288,-4.0,-0.015074
0.62881,-4.05,-0.015256
0.63473,-4.1,-0.015438
0.64065,-4.15,-0.015618
0.64666,-4.2,-0.015804
0.65258,-4.25,-0.015982
0.65856,-4.3,-0.016168
0.66448,-4.35,-0.01635
0.6704,-4.4,-0.01654
0.67632,-4.45,-0.016734
0.68224,-4.5,-0.016936
0.68817,-4.55,-0.017136
0.69409,-4.6,-0.017348
0.70001,-4.65,-0.017544
0.70595,-4.7,-0.017752
0.71188,-4.75,-0.01795
0.7178,-4.8,-0.018168
0.72374,-4.85,-0.018392
0.72966,-4.9,-0.018602
0.7356,-4.95,-0.018792
0.74152,-5.0,-0.018964
0.74485,-5.0,-0.018964
0.75084,-4.95,-0.018804
0.75675,-4.9,-0.018628
0.76267,-4.85,-0.018452
0.7686,-4.8,-0.018274
0.77452,-4.75,-0.0181
0.78044,-4.7,-0.01793
0.78637,-4.65,-0.017748
0.79229,-4.6,-0.017568
0.79822,-4.55,-0.01739
0.80414,-4.5,-0.01721
0.81005,-4.45,-0.01703
0.81598,-4.4,-0.016852
0.82193,-4.35,-0.016672
0.82786,-4.3,-0.016492
0.83378,-4.25,-0.016314
0.83969,-4.2,-0.01613
0.8456,-4.15,-0.015954
0.85152,-4.1,-0.015774
0.85744,-4.05,-0.015594
0.86337,-4.0,-0.015412
0.86929,-3.95,-0.015234
0.87522,-3.9,-0.015052
0.88113,-3.85,-0.014872
0.88705,-3.8,-0.01469
0.89298,-3.75,-0.014508
0.89888,-3.7,-0.014328
0.90482,-3.65,-0.014148
0.9108,-3.6,-0.013968
0.91674,-3.55,-0.013782
0.92266,-3.5,-0.013602
0.92857,-3.45,-0.01342
0.93451,-3.4,-0.013238
0.94043,-3.35,-0.013052
0.94635,-3.3,-0.01287
0.95228,-3.25,-0.012682
0.95819,-3.2,-0.012502
0.96412,-3.15,-0.01232
0.97004,-3.1,-0.012134
0.97598,-3.05,-0.01195
0.98192,-3.0,-0.011768
0.98784,-2.95,-0.011582
0.99377,-2.9,-0.0114
0.9997,-2.85,-0.011214
1.00564,-2.8,-0.011024
1.01158,-2.75,-0.01084
1.01751,-2.7,-0.010654
1.02344,-2.65,-0.010468
1.02937,-2.6,-0.01028
1.0353,-2.55,-0.01009
1.04955,-2.5,-0.009885
1.05555,-2.45,-0.0096922
1.06153,-2.4,-0.009506
1.06749,-2.35,-0.0093176
1.0735,-2.3,-0.0091274
1.07948,-2.25,-0.0089386
1.08548,-2.2,-0.0087436
1.09147,-2.15,-0.0085562
1.09751,-2.1,-0.0083664
1.1035,-2.05,-0.0081746
1.10948,-2.0,-0.0079816
1.11546,-1.95,-0.0077914
1.12147,-1.9,-0.0076006
1.12743,-1.85,-0.0074102
1.13342,-1.8,-0.0072112
1.1394,-1.75,-0.007017
1.1454,-1.7,-0.0068242
1.15139,-1.65,-0.006631
1.15738,-1.6,-0.0064332
1.16337,-1.55,-0.006236
1.16935,-1.5,-0.0060432
1.17534,-1.45,-0.0058448
1.18133,-1.4,-0.0056496
1.18732,-1.35,-0.005451
1.1933,-1.3,-0.0052518
1.19929,-1.25,-0.0050582
1.20526,-1.2,-0.0048566
1.21124,-1.15,-0.0046566
1.21722,-1.1,-0.0044598
1.22321,-1.05,-0.0042584
1.2292,-1.0,-0.0040582
1.2352,-0.95,-0.0038586
1.24125,-0.9,-0.0036536
1.24723,-0.85,-0.0034576
1.25322,-0.8,-0.003254
1.25919,-0.75,-0.0030516
1.26519,-0.7,-0.0028506
1.27116,-0.65,-0.0026476
1.27714,-0.6,-0.0024488
1.28312,-0.55,-0.0022434
1.2891,-0.5,-0.0020384
1.2951,-0.45,-0.0018364
1.30109,-0.4,-0.0016342
1.30708,-0.35,-0.001429
1.31304,-0.3,-0.0012244
1.31902,-0.25,-0.001016
