Time (s),Voltage (V),Current (A)
0.0637,0.0,-7.7551e-08
0.08813,0.001,9.3404e-07
0.09387,0.002,1.14748e-06
0.15169,0.003,2.4059e-06
0.15812,0.004,2.5652e-06
0.16454,0.005,3.8296e-06
0.17097,0.006,4.6737e-06
0.17741,0.007,5.5768e-06
0.18382,0.008,6.2617e-06
0.19025,0.009,7.2377e-06
0.19669,0.01,7.4922e-06
0.20311,0.011,8.538e-06
0.20954,0.012,9.1826e-06
0.21596,0.013,9.9474e-06
0.22238,0.014,1.11431e-05
0.27367,0.015,1.1888e-05
0.27922,0.016,1.2262e-05
0.28478,0.017,1.3302e-05
0.29032,0.018,1.4182e-05
0.29593,0.019,1.4608e-05
0.30151,0.02,1.562e-05
0.30706,0.021,1.658e-05
0.31261,0.022,1.7048e-05
0.3179,0.023,1.7948e-05
0.32319,0.024,1.8838e-05
0.32848,0.025,1.9154e-05
0.33403,0.026,1.9956e-05
0.33957,0.027,2.0826e-05
0.34512,0.028,2.1464e-05
0.35064,0.029,2.221e-05
0.35619,0.03,2.3168e-05
0.36173,0.031,2.3768e-05
0.36728,0.032,2.4526e-05
0.37282,0.033,2.55e-05
0.37837,0.034,2.6074e-05
0.38389,0.035,2.6946e-05
0.38943,0.036,2.7858e-05
0.39494,0.037,2.8478e-05
0.40049,0.038,2.9466e-05
0.40604,0.039,3.0294e-05
0.41159,0.04,3.0834e-05
0.41714,0.041,3.1836e-05
0.42269,0.042,3.2622e-05
0.42821,0.043,3.3216e-05
0.43375,0.044,3.4322e-05
0.43928,0.045,3.516e-05
0.44482,0.046,3.5642e-05
0.45035,0.047,3.6958e-05
0.45591,0.048,3.754e-05
0.46145,0.049,3.807e-05
0.46701,0.05,3.9318e-05
0.47263,0.051,3.9776e-05
0.47817,0.052,4.0324e-05
0.4837,0.053,4.1562e-05
0.48923,0.054,4.229e-05
0.49479,0.055,4.2742e-05
0.50034,0.056,4.4004e-05
0.50588,0.057,4.4618e-05
0.51143,0.058,4.5124e-05
0.51698,0.059,4.6426e-05
0.52252,0.06,4.6954e-05
0.52806,0.061,4.749e-05
0.5336,0.062,4.8974e-05
0.53914,0.063,4.9466e-05
0.54469,0.064,4.995e-05
0.55028,0.065,5.1178e-05
0.55583,0.066,5.1728e-05
