# Saved on 2025-07-21T13:06:35.149290
# Name: Shreenidhi
# Sample_ID: Batch6_Sample6_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0006
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS
1.4400000000e-04,4.0658687794e-04,4.8898316891e-04,6.1038204876e-04
1.1440000000e-03,4.0689770685e-04,4.8929879995e-04,6.0984984884e-04
2.1440000000e-03,4.0644332330e-04,4.8918143875e-04,6.1114995333e-04
3.1440000000e-03,4.0638064092e-04,4.8889276513e-04,6.0973121435e-04
4.1440000000e-03,4.0656963392e-04,4.8849084124e-04,6.1026508774e-04
5.1440000000e-03,4.0670627641e-04,4.8771013098e-04,6.1018810811e-04
6.1440000000e-03,4.0628663555e-04,4.8826812417e-04,6.1024940806e-04
7.1440000000e-03,4.0659699152e-04,4.9139074690e-04,6.1008973717e-04
8.1440000000e-03,4.0652448661e-04,4.9120393669e-04,6.0980368289e-04
9.1440000000e-03,4.0668819565e-04,4.8816749768e-04,6.1030430516e-04
1.0144000000e-02,4.0691538743e-04,4.8826230341e-04,6.1058839492e-04
1.1144000000e-02,4.0671377064e-04,4.8885609431e-04,6.1043778260e-04
1.2144000000e-02,4.0646184061e-04,4.9199708883e-04,6.1103790358e-04
1.3144000000e-02,4.0653048927e-04,4.8889680329e-04,6.0977192334e-04
1.4144000000e-02,4.0625960537e-04,4.8963505833e-04,6.0957612732e-04
1.5144000000e-02,4.0621078369e-04,4.9105819926e-04,6.1005612224e-04
1.6144000000e-02,4.0588955017e-04,4.8850492021e-04,6.0971062339e-04
1.7144000000e-02,4.0593640733e-04,4.8947294999e-04,6.0931182816e-04
1.8144000000e-02,4.0682003601e-04,4.8827805585e-04,6.1041057052e-04
1.9144000000e-02,4.0639435611e-04,4.8870610044e-04,6.0964219301e-04
2.0144000000e-02,4.0678027290e-04,4.8893347412e-04,6.0901205870e-04
2.1144000000e-02,4.0697163058e-04,4.9059442972e-04,6.0940150433e-04
2.2144000000e-02,4.0666032874e-04,4.8890316975e-04,6.1008038756e-04
2.3144000000e-02,4.0713493945e-04,4.8897822126e-04,6.0945509176e-04
2.4144000000e-02,4.0728486056e-04,4.9142745411e-04,6.0987305915e-04
2.5144000000e-02,4.0590693970e-04,4.8998939747e-04,6.0997321270e-04
2.6144000000e-02,4.0646973503e-04,4.9237489293e-04,6.0928759922e-04
2.7144000000e-02,4.0585568058e-04,4.8935573432e-04,6.0981030401e-04
2.8144000000e-02,4.0557824832e-04,4.9048234359e-04,6.0918275267e-04
2.9144000000e-02,4.0556722524e-04,4.9136990128e-04,6.0992329963e-04
3.0144000000e-02,4.0530692786e-04,4.9080583267e-04,6.0990503698e-04
3.1144000000e-02,4.0588100092e-04,4.8954294471e-04,6.0898099036e-04
3.2144000000e-02,4.0608752897e-04,4.8969988711e-04,6.0877682699e-04
3.3144000000e-02,4.0650225856e-04,4.9022182793e-04,6.1010145146e-04
3.4144000000e-02,4.0651477320e-04,4.9105205107e-04,6.0884263803e-04
3.5144000000e-02,4.0689403249e-04,4.8923775466e-04,6.0916256189e-04
3.6144000000e-02,4.0667753638e-04,4.9064936320e-04,6.0954640503e-04
