# Saved on 2025-07-21T13:06:35.185483
# Name: Shreenidhi
# Sample_ID: Batch6_Sample6_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0006
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.6
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_400.00 uS,Conductance_Target_500.00 uS,Conductance_Target_600.00 uS
1.4400000000e-04,4.0642775275e-04,4.9188591220e-04,6.0867267166e-04
1.0001440000e+00,4.0552404243e-04,4.8904817959e-04,6.0771184508e-04
2.0001440000e+00,4.0656872443e-04,4.9217087508e-04,6.0888411099e-04
3.0001440000e+00,4.0657905629e-04,4.8654277634e-04,6.0642327298e-04
4.0001440000e+00,4.0572973376e-04,4.8918438551e-04,6.0891867179e-04
5.0001440000e+00,4.0680624807e-04,4.8988666094e-04,6.0881837271e-04
6.0001440000e+00,4.0563034418e-04,4.8638699809e-04,6.1009810452e-04
7.0001440000e+00,4.0613347664e-04,4.8853660701e-04,6.0987844336e-04
8.0001440000e+00,4.0581038775e-04,4.8850637540e-04,6.0916972870e-04
9.0001440000e+00,4.0395050746e-04,4.8920272093e-04,6.0780883359e-04
1.0000144000e+01,4.0432601963e-04,4.8795442126e-04,6.0857117205e-04
1.1000144000e+01,4.0450555389e-04,4.8793306632e-04,6.0974303778e-04
1.2000144000e+01,4.0419359721e-04,4.9075362767e-04,6.1080165324e-04
1.3000144000e+01,4.0375431126e-04,4.8752983275e-04,6.0973303334e-04
1.4000144000e+01,4.0305472794e-04,4.8850724852e-04,6.0889513406e-04
1.5000144000e+01,4.0390721551e-04,4.8838850489e-04,6.1106809881e-04
1.6000144000e+01,4.0463113692e-04,4.9180012866e-04,6.0974605731e-04
1.7000144000e+01,4.0426592022e-04,4.8762361985e-04,6.1131788243e-04
1.8000144000e+01,4.0690527385e-04,4.9057172873e-04,6.1017832195e-04
1.9000144000e+01,4.0439819713e-04,4.8942969443e-04,6.0837450292e-04
2.0000144000e+01,4.0573202568e-04,4.8813453759e-04,6.0948786995e-04
2.1000144000e+01,3.9870250475e-04,4.8913640057e-04,6.0717818997e-04
2.2000144000e+01,4.0753529902e-04,4.8935959057e-04,6.0939222749e-04
2.3000144000e+01,4.0400260332e-04,4.8806738050e-04,6.0822349042e-04
2.4000144000e+01,4.0494131099e-04,4.8939320550e-04,6.0910962929e-04
2.5000144000e+01,4.0430713852e-04,4.8888017773e-04,6.1023732997e-04
2.6000144000e+01,4.0450464439e-04,4.8862279073e-04,6.1065024056e-04
2.7000144000e+01,4.0414823161e-04,4.8896345106e-04,6.0912945628e-04
2.8000144000e+01,4.0247861762e-04,4.8595829867e-04,6.0979651607e-04
2.9000144000e+01,4.0401930164e-04,4.8798236094e-04,6.0910104366e-04
3.0000144000e+01,4.0367740439e-04,4.8684130888e-04,6.0876693169e-04
3.1000144000e+01,4.0222166717e-04,4.8521291319e-04,6.0514488723e-04
3.2000144000e+01,4.0448525397e-04,4.8594098189e-04,6.0711859987e-04
3.3000144000e+01,4.0407361666e-04,4.8757952754e-04,6.0604033933e-04
3.4000144000e+01,4.0379301936e-04,4.8553312809e-04,6.0399415815e-04
3.5000144000e+01,4.0419454308e-04,4.8671583500e-04,6.0620070144e-04
3.6000144000e+01,4.0360871935e-04,4.8739064368e-04,6.0572961956e-04
