# Saved on 2025-07-21T13:33:50.103312
# Name: Shreenidhi
# Sample_ID: Batch6_Sample6_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [2, 1]
#   Max_Resistance: 10000000
#   Max_Voltage: 7
#   IComp: 1e-06
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 3
#   Neg_Voltage: -2.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.005
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.001
#   max_gtarget: 0.0012
#   num_level: 3
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# SmartProgram:
#   min_gtarget: 0.0004
#   max_gtarget: 0.0013
#   num_level: 10
#   num: 20
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.7
#   v_prg_max: 5
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: ReRam_RTN_Evan
#   boundary_super_coarse: 0.0001
#   boundary_coarse: 5e-05
#   boundary_fine: 5e-05
#   boundary_ultra_fine: 5e-07
#   super_coarse_step: 0.0001
#   coarse_step: 2.5e-05
#   fine_step: 2.5e-05
#   ultra_fine_step: 5e-07
#   ultra_ultra_fine_step: 5e-07
#   use_super_coarse: True
#   use_fine: True
#   use_ultra_fine: True
#   use_ultra_ultra_fine: True
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1000.00 uS,Conductance_Target_1100.00 uS,Conductance_Target_1200.00 uS
1.4400000000e-04,9.9179334939e-04,1.1071329936e-03,1.1961702694e-03
1.0001440000e+00,9.9376055005e-04,1.1035923671e-03,1.1995270324e-03
2.0001440000e+00,9.9337048596e-04,1.1063907732e-03,1.1974630615e-03
3.0001440000e+00,9.9273820524e-04,1.1017150973e-03,1.1949054169e-03
4.0001440000e+00,9.9168901215e-04,1.1018051009e-03,1.1961310520e-03
5.0001440000e+00,9.9106357084e-04,1.1056193762e-03,1.1977536633e-03
6.0001440000e+00,9.9272503576e-04,1.1046230793e-03,1.1984516459e-03
7.0001440000e+00,9.9238335679e-04,1.1024076230e-03,1.1979690316e-03
8.0001440000e+00,9.9120516097e-04,1.1035331408e-03,1.1987846665e-03
9.0001440000e+00,9.9344892078e-04,1.0998094513e-03,1.1971647473e-03
1.0000144000e+01,9.9331911770e-04,1.1048743181e-03,1.1984448793e-03
1.1000144000e+01,9.9218406831e-04,1.1066158186e-03,1.1947833991e-03
1.2000144000e+01,9.9202341517e-04,1.1028639710e-03,1.1942879792e-03
1.3000144000e+01,9.9327669886e-04,1.1049975728e-03,1.1955806985e-03
1.4000144000e+01,9.9214594229e-04,1.1033692863e-03,1.1974394874e-03
1.5000144000e+01,9.9296143162e-04,1.1023166735e-03,1.1957725656e-03
1.6000144000e+01,9.9299249996e-04,1.1034723866e-03,1.1983479635e-03
1.7000144000e+01,9.9154392956e-04,1.1046096915e-03,1.1969577463e-03
1.8000144000e+01,9.9330987723e-04,1.1057844677e-03,1.2011809304e-03
1.9000144000e+01,9.9312055681e-04,1.1064753198e-03,1.1993610678e-03
2.0000144000e+01,9.9279648566e-04,1.1037783406e-03,1.1998879199e-03
2.1000144000e+01,9.9226039310e-04,1.1032271141e-03,1.1941049161e-03
2.2000144000e+01,9.9195072835e-04,1.1034185445e-03,1.1972420180e-03
2.3000144000e+01,9.9124183180e-04,1.1058398377e-03,1.1925536091e-03
2.4000144000e+01,9.9153410702e-04,1.1044806888e-03,1.1956771777e-03
2.5000144000e+01,9.9219454569e-04,1.1073734640e-03,1.2016936671e-03
2.6000144000e+01,9.9273733213e-04,1.1027786968e-03,1.1972831999e-03
2.7000144000e+01,9.9209624750e-04,1.1025380809e-03,1.1978582188e-03
2.8000144000e+01,9.9356868304e-04,1.1017786892e-03,1.1979132978e-03
2.9000144000e+01,9.9290118669e-04,1.1028385052e-03,1.1956976232e-03
3.0000144000e+01,9.9166129075e-04,1.1029581219e-03,1.1957239622e-03
3.1000144000e+01,9.9224438600e-04,1.1066022125e-03,1.2000821880e-03
3.2000144000e+01,9.9227916508e-04,1.1002235988e-03,1.1990983330e-03
3.3000144000e+01,9.9246906757e-04,1.1038195225e-03,1.1983308650e-03
3.4000144000e+01,9.9199511169e-04,1.1030638416e-03,1.1995246314e-03
3.5000144000e+01,9.9171586044e-04,1.1032328621e-03,1.1972970970e-03
3.6000144000e+01,9.9201082776e-04,1.0985897097e-03,1.1937602540e-03
