# Saved on 2025-06-27T17:04:44.474526
# Name: Abir
# Sample_ID: Batch5_Sample7_F5_TPTE37
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 1
#   Read_Voltage: 0.1
#   Pos_Voltage: 0.1
#   Neg_Voltage: -2.5
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.001
#   ICompRead: 0.1
#   SaveData: True
Voltage (V),Loop 1 (A)
0.0000000000e+00,3.4038000000e-08
-2.6000000000e-02,1.0166200000e-04
-5.2000000000e-02,2.0412000000e-04
-7.8000000000e-02,3.0324000000e-04
-1.0400000000e-01,4.0542000000e-04
-1.3000000000e-01,5.1200000000e-04
-1.5600000000e-01,6.1548000000e-04
-1.8200000000e-01,7.1566000000e-04
-2.0800000000e-01,8.1916000000e-04
-2.3400000000e-01,9.2226000000e-04
-2.6000000000e-01,1.0000200000e-03
-2.8600000000e-01,1.0000000000e-03
-3.1200000000e-01,1.0000200000e-03
-3.3800000000e-01,1.0000000000e-03
-3.6400000000e-01,1.0000000000e-03
-3.9000000000e-01,1.0000200000e-03
-4.1600000000e-01,1.0000200000e-03
-4.4200000000e-01,1.0000000000e-03
-4.6800000000e-01,1.0000200000e-03
-4.9400000000e-01,1.0000000000e-03
-5.2000000000e-01,1.0000200000e-03
-5.4600000000e-01,1.0000000000e-03
-5.7200000000e-01,1.0000200000e-03
-5.9800000000e-01,1.0000000000e-03
-6.2400000000e-01,1.0000200000e-03
-6.5000000000e-01,1.0000000000e-03
-6.7600000000e-01,1.0000000000e-03
-7.0200000000e-01,1.0000200000e-03
-7.2800000000e-01,1.0000200000e-03
-7.5400000000e-01,1.0000200000e-03
-7.8000000000e-01,1.0000200000e-03
-8.0600000000e-01,1.0000200000e-03
-8.3200000000e-01,1.0000000000e-03
-8.5800000000e-01,1.0000200000e-03
-8.8400000000e-01,1.0000200000e-03
-9.1000000000e-01,1.0000200000e-03
-9.3600000000e-01,1.0000200000e-03
-9.6200000000e-01,1.0000200000e-03
-9.8800000000e-01,1.0000000000e-03
-1.0140000000e+00,1.0000000000e-03
-1.0400000000e+00,1.0000200000e-03
-1.0660000000e+00,1.0000200000e-03
-1.0920000000e+00,1.0000200000e-03
-1.1180000000e+00,1.0000000000e-03
-1.1440000000e+00,1.0000200000e-03
-1.1700000000e+00,1.0000200000e-03
-1.1960000000e+00,1.0000000000e-03
-1.2220000000e+00,1.0000200000e-03
-1.2480000000e+00,1.0000000000e-03
-1.2740000000e+00,1.0000200000e-03
-1.3000000000e+00,1.0000000000e-03
-1.3260000000e+00,1.0000000000e-03
-1.3520000000e+00,1.0000200000e-03
