# Saved on 2025-06-30T11:58:56.659736
# Name: Shreenidhi
# Sample_ID: Batch5_Sample7_F5_TPTE34
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 10
#   Read_Voltage: 0.1
#   Pos_Voltage: 1.3
#   Neg_Voltage: -1.5
#   Min_MemWindow: 0.5
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.001
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0007
#   max_gtarget: 0.0016
#   num_level: 10
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 0.7
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 1e-05
#   ProgramTargetOffset: 1e-05
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Voltage (V),Loop 1 (A),Loop 2 (A),Loop 3 (A),Loop 4 (A),Loop 5 (A),Loop 6 (A),Loop 7 (A),Loop 8 (A),Loop 9 (A),Loop 10 (A)
0.0000000000e+00,3.7882000000e-08,3.5609000000e-08,2.3345000000e-08,7.4686000000e-08,1.9738000000e-08,3.5973000000e-08,7.7087000000e-08,3.0389000000e-08,8.0907000000e-08,4.4616000000e-08
-1.5000000000e-02,7.3594000000e-06,7.0155000000e-06,7.3970000000e-06,7.5892000000e-06,7.3620000000e-06,7.2524000000e-06,7.4096000000e-06,7.0920000000e-06,7.5970000000e-06,6.9146000000e-06
-3.0000000000e-02,1.4204000000e-05,1.3710000000e-05,1.4720000000e-05,1.4998000000e-05,1.5196000000e-05,1.4664000000e-05,1.5036000000e-05,1.4094000000e-05,1.5544000000e-05,1.3476000000e-05
-4.5000000000e-02,2.1694000000e-05,2.0760000000e-05,2.2186000000e-05,2.2164000000e-05,2.2708000000e-05,2.2188000000e-05,2.2464000000e-05,2.1362000000e-05,2.3224000000e-05,2.0310000000e-05
-6.0000000000e-02,2.8902000000e-05,2.7694000000e-05,3.0026000000e-05,2.9914000000e-05,3.0218000000e-05,2.9556000000e-05,3.0262000000e-05,2.8884000000e-05,3.1308000000e-05,2.6994000000e-05
-7.5000000000e-02,3.6246000000e-05,3.4684000000e-05,3.7564000000e-05,3.7820000000e-05,3.7996000000e-05,3.6916000000e-05,3.7726000000e-05,3.6812000000e-05,3.9544000000e-05,3.4208000000e-05
-9.0000000000e-02,4.3812000000e-05,4.2032000000e-05,4.5644000000e-05,4.5530000000e-05,4.5530000000e-05,4.4550000000e-05,4.5220000000e-05,4.4186000000e-05,4.7312000000e-05,4.1300000000e-05
-1.0500000000e-01,5.1334000000e-05,4.9204000000e-05,5.3582000000e-05,5.4282000000e-05,5.3430000000e-05,5.2234000000e-05,5.3136000000e-05,5.2054000000e-05,5.5764000000e-05,4.8370000000e-05
-1.2000000000e-01,5.9312000000e-05,5.6626000000e-05,6.1274000000e-05,6.2580000000e-05,6.1286000000e-05,6.0252000000e-05,6.1418000000e-05,5.9822000000e-05,6.4258000000e-05,5.5924000000e-05
-1.3500000000e-01,6.7878000000e-05,6.4332000000e-05,6.9284000000e-05,7.0102000000e-05,6.9588000000e-05,6.8426000000e-05,6.9232000000e-05,6.7538000000e-05,7.2794000000e-05,6.3504000000e-05
