# Saved on 2025-06-26T13:42:08.397722
# Name: Shreenidhi
# Sample_ID: Batch3_F5_TPTE11
# Waveform Format: Reram
# Waveform: ReRam_Program_Evan
# VDD WGFMU: 1
# VSS WGFMU: 2
# trd: 0.0001
# pts_per_meas: 1
# Short_Check_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 200
#   Max_Voltage: 0.1
#   IComp: 0.1
#   Dynamic_Check: True
#   D_StartV: 0.1
#   D_Step: 1
#   D_Wait: 10
#   SaveData: True
# Form_Test:
#   SMU_Pair: [1, 2]
#   Max_Resistance: 10000
#   Max_Voltage: 7
#   IComp: 0.001
#   Dynamic_Check: True
#   D_StartV: 1
#   D_Step: 0.1
#   D_Wait: 2
#   Reset_Voltage: 0.1
#   Reset_Compliance: 0.1
#   SaveData: True
# Switch_Test:
#   SMU_Pair: [1, 2]
#   num_loops: 5
#   Read_Voltage: 0.1
#   Pos_Voltage: 2
#   Neg_Voltage: -2
#   Min_MemWindow: 1.1
#   Reset_Voltage_Step: 0.1
#   ICompSet: 0.003
#   ICompReset: 0.1
#   ICompRead: 0.1
#   SaveData: True
# Program:
#   min_gtarget: 0.0008
#   max_gtarget: 0.0013
#   num_level: 6
#   num: 10
#   num_reads: 10
#   v_rd: 0.1
#   v_prg: 1.1
#   v_rst: -0.6
#   v_prg_max: 10
#   v_countmax: 1000
#   v_count: 0
#   goffset: 5e-06
#   ProgramTargetOffset: 5e-06
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
#   RTN_waveform: Retention_10Min
# Retention:
#   SMU_Pair: [1, 2]
#   ReadVoltage: 0.1
#   ReadCompliance: 0.1
#   Interval: 0.01
#   Duration: 180
#   SampleRate: 2
#   SaveData: True
# ILOVEDATA:
#   v_start: 0.5
#   v_max: 3
#   v_step: 1
#   pulses_per_voltage: 100
#   derivative_interval: 10
#   v_rd: 0.1
#   ranging_rd: 6002
#   read_waveform: ReRam_Read_Evan
#   program_waveform: ReRam_Program_Evan
Time (s),Conductance_Target_1 (S),Conductance_Target_2 (S),Conductance_Target_3 (S),Conductance_Target_4 (S),Conductance_Target_5 (S)
1.4400000000e-04,7.9552824900e-04,9.0430752607e-04,1.0100318468e-03,1.1101954442e-03,1.1832153541e-03
1.1440000000e-03,7.9626632214e-04,8.9341709099e-04,9.9409822724e-04,1.1167821503e-03,1.1871726019e-03
2.1440000000e-03,7.9186705989e-04,8.9331289928e-04,9.9267097539e-04,1.1165962496e-03,1.1876196368e-03
3.1440000000e-03,7.9581433965e-04,8.8971530204e-04,9.9015727756e-04,1.1090331100e-03,1.2132676056e-03
4.1440000000e-03,7.9106139310e-04,8.9355096861e-04,9.9699151178e-04,1.1132845248e-03,1.1935505609e-03
5.1440000000e-03,7.9010198533e-04,8.9351364295e-04,9.9554075859e-04,1.1059601093e-03,1.1948432075e-03
6.1440000000e-03,7.8930599557e-04,8.9103850769e-04,9.9097749626e-04,1.1080400873e-03,1.1904771236e-03
7.1440000000e-03,8.0530029663e-04,8.9812339866e-04,1.0000266047e-03,1.0997849313e-03,1.1985469609e-03
8.1440000000e-03,7.9489647760e-04,8.9351276984e-04,9.9629512988e-04,1.1042898404e-03,1.1968498438e-03
9.1440000000e-03,7.9251971329e-04,8.9484492491e-04,9.9674245575e-04,1.1030030873e-03,1.1916428775e-03
1.0144000000e-02,7.8534671047e-04,8.9444169134e-04,9.9316508567e-04,1.1248771625e-03,1.1967381579e-03
1.1144000000e-02,7.9470788478e-04,9.0363930212e-04,1.0048966942e-03,1.1066003935e-03,1.1926777370e-03
1.2144000000e-02,7.9394318163e-04,8.9471017418e-04,9.9931865407e-04,1.1076193914e-03,1.1905403517e-03
1.3144000000e-02,7.9280842328e-04,8.9705441496e-04,9.9726508779e-04,1.1076228839e-03,1.1850370356e-03
1.4144000000e-02,8.0012534454e-04,8.8618682639e-04,9.8510652606e-04,1.1083132267e-03,1.1993185763e-03
1.5144000000e-02,7.9902289144e-04,8.9252018370e-04,9.9432458228e-04,1.1101114796e-03,1.1936090596e-03
1.6144000000e-02,7.9792662291e-04,8.8718203187e-04,9.8963930213e-04,1.1026386346e-03,1.1904798157e-03
1.7144000000e-02,7.9395831563e-04,8.8785105618e-04,9.9327844509e-04,1.1140557035e-03,1.1786684627e-03
1.8144000000e-02,8.0049088865e-04,8.9564069640e-04,9.9780976598e-04,1.1053506751e-03,1.1905208521e-03
1.9144000000e-02,7.9850397015e-04,8.9288325398e-04,9.9340322777e-04,1.1071279732e-03,1.1889135931e-03
2.0144000000e-02,7.9639001342e-04,8.9462962933e-04,9.9868171674e-04,1.1060238467e-03,1.1933219503e-03
2.1144000000e-02,7.8479439253e-04,8.9366207249e-04,9.9330427474e-04,1.1186613847e-03,1.1936733790e-03
2.2144000000e-02,7.9254634329e-04,9.0086999990e-04,1.0011574341e-03,1.1072150664e-03,1.1945743609e-03
2.3144000000e-02,7.8666882473e-04,8.9725952421e-04,9.9919321656e-04,1.1073813221e-03,1.1969873594e-03
2.4144000000e-02,7.9445439042e-04,8.9981716883e-04,1.0005980585e-03,1.0952792945e-03,1.1895372882e-03
2.5144000000e-02,7.9290286521e-04,8.8237065938e-04,9.8102151242e-04,1.1023000116e-03,1.1951392662e-03
2.6144000000e-02,7.9208431998e-04,8.9502798801e-04,9.9529199360e-04,1.1002939573e-03,1.1921549594e-03
2.7144000000e-02,7.9601384641e-04,8.9496323199e-04,9.9509670690e-04,1.1005294800e-03,1.1940919649e-03
2.8144000000e-02,7.9064993770e-04,8.9545013907e-04,1.0013106657e-03,1.1103623547e-03,1.1776389874e-03
2.9144000000e-02,7.9721889051e-04,8.9439141448e-04,9.9631128251e-04,1.1056703079e-03,1.1902266124e-03
