Measurement,SMU1_Current,SMU1_Time,SMU4_Current,SMU4_Time
0,-2.64E-10,8.76E-02,5.79E-07,8.76E-02
1,1.28E-10,9.93E-02,5.79E-07,9.93E-02
2,-1.81E-10,1.08E-01,5.79E-07,1.08E-01
3,-3.40E-10,1.19E-01,5.79E-07,1.19E-01
4,1.91E-10,1.28E-01,5.79E-07,1.28E-01
5,1.06E-11,1.38E-01,5.79E-07,1.38E-01
6,1.40E-10,1.49E-01,5.79E-07,1.49E-01
7,-1.50E-10,1.58E-01,5.79E-07,1.58E-01
8,-3.16E-10,1.69E-01,5.79E-07,1.69E-01
9,2.21E-10,1.78E-01,5.79E-07,1.78E-01
10,1.07E-11,1.88E-01,5.79E-07,1.88E-01
11,1.47E-10,1.99E-01,5.79E-07,1.99E-01
12,-1.47E-10,2.08E-01,5.79E-07,2.08E-01
13,-2.84E-10,2.19E-01,5.79E-07,2.19E-01
14,2.51E-10,2.28E-01,5.79E-07,2.28E-01
15,2.49E-11,2.38E-01,5.79E-07,2.38E-01
16,1.45E-10,2.49E-01,5.79E-07,2.49E-01
17,-1.48E-10,2.58E-01,5.79E-07,2.58E-01
18,-3.06E-10,2.69E-01,5.79E-07,2.69E-01
19,2.41E-10,2.78E-01,5.79E-07,2.78E-01
20,1.29E-11,2.88E-01,5.79E-07,2.88E-01
21,1.46E-10,2.99E-01,5.79E-07,2.99E-01
22,-1.28E-10,3.08E-01,5.79E-07,3.08E-01
23,-2.75E-10,3.19E-01,5.79E-07,3.19E-01
24,2.38E-10,3.28E-01,5.79E-07,3.28E-01
25,2.56E-11,3.38E-01,5.79E-07,3.38E-01
26,1.78E-10,3.49E-01,5.79E-07,3.49E-01
27,-1.52E-10,3.58E-01,5.79E-07,3.58E-01
28,-3.12E-10,3.69E-01,5.79E-07,3.69E-01
29,2.31E-10,3.78E-01,5.79E-07,3.78E-01
30,2.76E-11,3.88E-01,5.79E-07,3.88E-01
31,1.73E-10,3.99E-01,5.79E-07,3.99E-01
32,-1.20E-10,4.08E-01,5.79E-07,4.08E-01
33,-2.74E-10,4.19E-01,5.79E-07,4.19E-01
34,2.35E-10,4.28E-01,5.79E-07,4.28E-01
35,-1.81E-11,4.38E-01,5.79E-07,4.38E-01
36,1.59E-10,4.49E-01,5.79E-07,4.49E-01
37,-1.55E-10,4.58E-01,5.79E-07,4.58E-01
38,-2.93E-10,4.69E-01,5.79E-07,4.69E-01
39,2.17E-10,4.78E-01,5.79E-07,4.78E-01
40,8.85E-12,4.88E-01,5.79E-07,4.88E-01
41,1.77E-10,4.99E-01,5.79E-07,4.99E-01
42,-1.09E-10,5.08E-01,5.79E-07,5.08E-01
43,-2.64E-10,5.19E-01,5.79E-07,5.19E-01
44,2.48E-10,5.28E-01,5.79E-07,5.28E-01
45,7.70E-12,5.38E-01,5.78E-07,5.38E-01
46,1.65E-10,5.49E-01,5.79E-07,5.49E-01
47,-1.32E-10,5.58E-01,5.79E-07,5.58E-01
48,-2.93E-10,5.69E-01,5.79E-07,5.69E-01
49,2.57E-10,5.78E-01,5.79E-07,5.78E-01
50,2.38E-11,5.88E-01,5.79E-07,5.88E-01
51,1.85E-10,5.99E-01,5.79E-07,5.99E-01
52,-1.30E-10,6.08E-01,5.79E-07,6.08E-01
53,-2.91E-10,6.19E-01,5.79E-07,6.19E-01
54,2.33E-10,6.28E-01,5.79E-07,6.28E-01
55,1.95E-12,6.38E-01,5.79E-07,6.38E-01
56,1.55E-10,6.49E-01,5.79E-07,6.49E-01
57,-1.51E-10,6.58E-01,5.79E-07,6.58E-01
58,-2.91E-10,6.69E-01,5.79E-07,6.69E-01
59,2.55E-10,6.78E-01,5.79E-07,6.78E-01
60,2.28E-11,6.88E-01,5.78E-07,6.88E-01
61,1.89E-10,6.99E-01,5.79E-07,6.99E-01
62,-1.21E-10,7.08E-01,5.79E-07,7.08E-01
63,-2.94E-10,7.19E-01,5.78E-07,7.19E-01
64,2.52E-10,7.28E-01,5.79E-07,7.28E-01
65,7.90E-12,7.38E-01,5.79E-07,7.38E-01
66,1.62E-10,7.49E-01,5.79E-07,7.49E-01
67,-1.28E-10,7.58E-01,5.79E-07,7.58E-01
68,-2.81E-10,7.69E-01,5.78E-07,7.69E-01
69,2.60E-10,7.78E-01,5.78E-07,7.78E-01
70,1.70E-11,7.88E-01,5.78E-07,7.88E-01
71,1.88E-10,7.99E-01,5.79E-07,7.99E-01
72,-1.29E-10,8.08E-01,5.79E-07,8.08E-01
73,-2.97E-10,8.19E-01,5.78E-07,8.19E-01
74,2.36E-10,8.28E-01,5.78E-07,8.28E-01
75,7.85E-12,8.38E-01,5.78E-07,8.38E-01
76,1.54E-10,8.49E-01,5.79E-07,8.49E-01
77,-1.22E-10,8.58E-01,5.79E-07,8.58E-01
78,-3.04E-10,8.69E-01,5.78E-07,8.69E-01
79,2.50E-10,8.78E-01,5.78E-07,8.78E-01
80,6.45E-12,8.88E-01,5.78E-07,8.88E-01
81,1.84E-10,8.99E-01,5.78E-07,8.99E-01
82,-1.37E-10,9.08E-01,5.79E-07,9.08E-01
83,-2.85E-10,9.19E-01,5.78E-07,9.19E-01
84,2.50E-10,9.28E-01,5.78E-07,9.28E-01
85,1.88E-11,9.38E-01,5.78E-07,9.38E-01
86,1.70E-10,9.49E-01,5.79E-07,9.49E-01
87,-1.20E-10,9.58E-01,5.78E-07,9.58E-01
88,-2.70E-10,9.69E-01,5.78E-07,9.69E-01
89,2.54E-10,9.78E-01,5.78E-07,9.78E-01
90,8.95E-12,9.88E-01,5.78E-07,9.88E-01
91,1.82E-10,9.99E-01,5.78E-07,9.99E-01
92,-1.34E-10,1.01E+00,5.78E-07,1.01E+00
93,-2.89E-10,1.02E+00,5.78E-07,1.02E+00
94,2.56E-10,1.03E+00,5.78E-07,1.03E+00
95,1.33E-11,1.04E+00,5.78E-07,1.04E+00
96,1.86E-10,1.05E+00,5.78E-07,1.05E+00
97,-1.16E-10,1.06E+00,5.78E-07,1.06E+00
98,-2.77E-10,1.07E+00,5.78E-07,1.07E+00
99,2.51E-10,1.08E+00,5.78E-07,1.08E+00
100,1.12E-11,1.09E+00,5.78E-07,1.09E+00
101,1.71E-10,1.10E+00,5.78E-07,1.10E+00
102,-1.31E-10,1.11E+00,5.78E-07,1.11E+00
103,-2.85E-10,1.12E+00,5.78E-07,1.12E+00
104,2.63E-10,1.13E+00,5.78E-07,1.13E+00
105,4.41E-11,1.14E+00,5.78E-07,1.14E+00
106,1.95E-10,1.15E+00,5.78E-07,1.15E+00
107,-1.23E-10,1.16E+00,5.78E-07,1.16E+00
108,-2.73E-10,1.17E+00,5.78E-07,1.17E+00
109,2.43E-10,1.18E+00,5.78E-07,1.18E+00
110,1.70E-11,1.19E+00,5.78E-07,1.19E+00
111,1.72E-10,1.20E+00,5.78E-07,1.20E+00
112,-1.27E-10,1.21E+00,5.78E-07,1.21E+00
113,-2.86E-10,1.22E+00,5.78E-07,1.22E+00
114,2.51E-10,1.23E+00,5.78E-07,1.23E+00
115,3.71E-11,1.24E+00,5.78E-07,1.24E+00
116,2.04E-10,1.25E+00,5.78E-07,1.25E+00
117,-1.22E-10,1.26E+00,5.78E-07,1.26E+00
118,-2.81E-10,1.27E+00,5.78E-07,1.27E+00
119,2.45E-10,1.28E+00,5.78E-07,1.28E+00
120,5.20E-12,1.29E+00,5.78E-07,1.29E+00
121,1.70E-10,1.30E+00,5.78E-07,1.30E+00
122,-1.06E-10,1.31E+00,5.78E-07,1.31E+00
123,-2.74E-10,1.32E+00,5.78E-07,1.32E+00
124,2.67E-10,1.33E+00,5.78E-07,1.33E+00
125,2.22E-11,1.34E+00,5.78E-07,1.34E+00
126,1.95E-10,1.35E+00,5.78E-07,1.35E+00
127,-1.33E-10,1.36E+00,5.78E-07,1.36E+00
128,-2.74E-10,1.37E+00,5.78E-07,1.37E+00
129,2.53E-10,1.38E+00,5.78E-07,1.38E+00
130,2.02E-11,1.39E+00,5.78E-07,1.39E+00
131,1.74E-10,1.40E+00,5.78E-07,1.40E+00
132,-1.18E-10,1.41E+00,5.78E-07,1.41E+00
133,-2.72E-10,1.42E+00,5.78E-07,1.42E+00
134,2.57E-10,1.43E+00,5.78E-07,1.43E+00
135,1.96E-11,1.44E+00,5.78E-07,1.44E+00
136,1.82E-10,1.45E+00,5.78E-07,1.45E+00
137,-1.40E-10,1.46E+00,5.78E-07,1.46E+00
138,-2.80E-10,1.47E+00,5.78E-07,1.47E+00
139,2.66E-10,1.48E+00,5.78E-07,1.48E+00
140,2.35E-11,1.49E+00,5.78E-07,1.49E+00
141,1.80E-10,1.50E+00,5.78E-07,1.50E+00
142,-1.11E-10,1.51E+00,5.78E-07,1.51E+00
143,-2.68E-10,1.52E+00,5.78E-07,1.52E+00
144,2.49E-10,1.53E+00,5.78E-07,1.53E+00
145,7.35E-12,1.54E+00,5.78E-07,1.54E+00
146,1.81E-10,1.55E+00,5.78E-07,1.55E+00
147,-1.37E-10,1.56E+00,5.78E-07,1.56E+00
148,-2.95E-10,1.57E+00,5.78E-07,1.57E+00
149,2.67E-10,1.58E+00,5.78E-07,1.58E+00
150,2.18E-11,1.59E+00,5.78E-07,1.59E+00
151,1.83E-10,1.60E+00,5.78E-07,1.60E+00
152,-1.12E-10,1.61E+00,5.78E-07,1.61E+00
153,-2.76E-10,1.62E+00,5.78E-07,1.62E+00
154,2.48E-10,1.63E+00,5.78E-07,1.63E+00
155,1.74E-11,1.64E+00,5.78E-07,1.64E+00
156,1.70E-10,1.65E+00,5.78E-07,1.65E+00
157,-1.35E-10,1.66E+00,5.78E-07,1.66E+00
158,-2.80E-10,1.67E+00,5.78E-07,1.67E+00
159,2.57E-10,1.68E+00,5.78E-07,1.68E+00
160,3.88E-11,1.69E+00,5.78E-07,1.69E+00
